,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR Price,Country1,City1,Type_split,Fuel,Price_Category
2056,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2004,12.13,2.32,GRP,107,129999,United Kingdom , Southampton,Used boat,Diesel,High-priced
2057,Sport Boat,Cranchi power boats,Used boat,2019,7.85,2.49,PVC,40,142576,France,Unknown,Used boat,Diesel,High-priced
2058,Hardtop,Jeanneau power boats,"Used boat,Diesel",2010,10.85,3.66,PVC,91,129950,United Kingdom ," Lincoln, Lincoln",Used boat,Diesel,High-priced
2060,Trawler,Marhen power boats,Used boat,2010,12.5,3.9,Steel,93,142500,Netherlands , Swifterbant,Used boat,Diesel,High-priced
2061,Sport Boat,Mirakul power boats,"new boat on order,Diesel",2020,9.19,3.1,GRP,176,142500,Switzerland , Lake Constance ,new boat on order,Diesel,High-priced
2062,Motor Yacht,Sessa power boats,"Used boat,Unleaded",2008,10.6,3.53,GRP,73,142000,Germany , Kressbronn Halle,Used boat,Unleaded,High-priced
2063,Hardtop,Sessa power boats,"Used boat,Diesel",2007,12.9,3.84,GRP,115,142000,Italy , Sicilia ,Used boat,Diesel,High-priced
2065,Cabin Boat,Sea Ray power boats,"new boat on order,Unleaded",2021,8.1,2.56,GRP,101,141900,Germany , Boote Pfister GmbH Schwebheim / Schweinfurt,new boat on order,Unleaded,High-priced
2066,Deck Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.12,9.98,PVC,36,145900,France ," PORNICHET, France",new boat from stock,Unleaded,High-priced
2067,Motor Yacht,Cranchi power boats,new boat on order,2020,9.85,2.98,PVC,159,145800,France,Unknown,new boat on order,Unleaded,High-priced
2070,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2008,13,4,GRP,247,145000,Croatia (Hrvatska) , Dalmatia,Used boat,Diesel,High-priced
2072,Flybridge,Rodman power boats,"Used boat,Diesel",2006,11.9,4.2,GRP,48,145000,Spain , Mallorca ,Used boat,Diesel,High-priced
2073,Motor Yacht,Cranchi power boats,"Used boat,Unleaded",2011,10.25,3.5,GRP,62,145000,Slovenia , Portoroz,Used boat,Unleaded,High-priced
